tanggal,ihsg,usd_idr,ihsg_ret_1,ihsg_ret_5,ihsg_ret_20,ihsg_sma20,usd_ret_1,usd_ret_5,usd_ret_20,usd_sma20
2024-02-26,7283.8232421875,15586.099609375,-0.00154514400762229,-0.001765031104189685,0.007747837505645894,1.0042688834712776,-0.00012191369162173338,-0.0027193735243243866,-0.008202379295259354,0.9936562649193781
2024-02-27,7285.31689453125,15638.5,0.00020506433147615688,-0.00915107171031293,0.014944869709665465,1.003732527849911,0.0033619951070684717,0.0002878342074965623,-0.004836297686849678,0.9972385237650004
2024-02-28,7328.63623046875,15653.0,0.0059461155313667025,-0.0027738069650141695,0.0268384448642367,1.008370266651459,0.0009271989001502501,-0.0005108230636613476,-0.009805161943319818,0.9986567016810614
2024-02-29,7316.11083984375,15712.2001953125,-0.0017091025166354745,-0.003205252942555914,0.02220653253461924,1.0055473672384547,0.003782035093113034,0.004487929632559728,-0.003513497008736932,1.0026108410686798
2024-03-01,7311.9072265625,15704.0,-0.0005745693816388009,0.0023045637135128416,0.016641798472170954,1.0041436655947142,-0.0005218998746557846,0.007441621760328365,-0.007834217841799385,1.0024841894671839
2024-03-04,7276.7490234375,15691.900390625,-0.004808349181083416,-0.0009712232868346327,0.009546152812825781,0.998843468054286,-0.0007704794558711647,0.0067881499478137375,-0.005897979687994881,1.0020095495586965
2024-03-05,7247.4599609375,15766.0,-0.004025020294868398,-0.00519633313715806,0.006354636660893975,0.9945107359189814,0.004722156496689944,0.008152955846148835,-0.00019024668653688792,1.0067508384053863
2024-03-06,7329.80078125,15751.5,0.011361334972018078,0.00015890415960462256,0.012573328678143758,1.00518200236289,-0.0009197006215907466,0.006292723439596193,0.0016215185043877423,1.0057430452878668
2024-03-07,7373.9638671875,15668.0,0.006025141372255405,0.007907620402452187,0.024358661645808022,1.0100239804382818,-0.0053010824365933296,-0.002813113043562576,-0.0037641916283449595,1.0006006304725596
2024-03-08,7381.9072265625,15621.0,0.0010772170189694563,0.009573425623578213,0.018558223804684415,1.0101814893660532,-0.0029997447025784663,-0.0052852776362710685,-0.0057601120198580436,0.9978874522239254
2024-03-13,7421.20703125,15546.0,0.005323800947550028,0.019851998103441293,0.025715448617794845,1.014268288846525,-0.004801229114653305,-0.009297815241815277,-0.011885845039089848,0.9936898857321836
2024-03-14,7433.31494140625,15574.0,0.0016315284165049349,0.02564415415476251,0.018587578733737953,1.0149822607962395,0.0018011063939276095,-0.012178104782443189,-0.001538658802410553,0.995555989263713
2024-03-15,7328.05419921875,15630.0,-0.014160672999493085,-0.00023828506167833385,0.0164101574272546,0.9998018364021666,0.0035957364838834494,-0.007713551090372306,0.003241439070573504,0.9989745030943494
2024-03-18,7302.44921875,15639.2998046875,-0.0034941035877545934,-0.009698264017230174,-0.0001138588253526418,0.9963140768811104,0.0005949971009278077,-0.0018317714649285222,0.005542316160602523,0.9992936150141613
2024-03-19,7336.74609375,15743.0,0.004696626292441497,-0.006117813652547044,0.0001637467819763927,1.0009851895667763,0.006630744125860399,0.007809999359836173,0.004530372639101499,1.0056915523406085
2024-03-20,7331.1279296875,15718.0,-0.0007657569160375299,-0.01213806611016044,0.0047179918475048765,0.9999838388401279,-0.0015880073683541829,0.011063939276984458,0.005720307184232443,1.0038078663973753
2024-03-21,7338.35302734375,15687.0,0.0009855369767852729,-0.012775176998559234,-0.001937824006929989,1.0010666369660535,-0.001972261101921391,0.00725568254783604,0.003390047332736401,1.0016585759872039
2024-03-22,7350.15185546875,15723.5,0.00160783054195357,0.0030154875563497274,0.00015387891470175497,1.0026684485476067,0.0023267673870084327,0.005982085732565645,0.003990805184854063,1.0037889065158339
2024-03-25,7377.759765625,15802.599609375,0.0037561006492279336,0.01031305314409181,0.0051941995432946975,1.0061729365569778,0.005030661708589124,0.010441631449417788,0.010267204281741549,1.0083217286343562
2024-03-26,7365.6640625,15784.0,-0.0016394818358490548,0.003941525082166164,0.009673464921014174,1.004040184011246,-0.0011769968128513275,0.0026043320841009354,0.012573774698485973,1.0065055573121706
2024-03-27,7310.091796875,15828.0,-0.007544773309433039,-0.002869426507661088,0.0036064239636341977,0.9962865552145993,0.0027876330461227283,0.006998345845527387,0.015520264638851478,1.0085334752127793
2024-03-28,7288.81298828125,15877.0,-0.0029108811742756258,-0.006750838897761735,0.0004798821795417574,0.9933628175701833,0.0030957796310335794,0.012111939822783135,0.01525082328867855,1.01088755889469
2024-04-01,7205.06103515625,15848.0,-0.011490479075214832,-0.01973983982447214,-0.016861963321188833,0.9827761772531486,-0.0018265415380739336,0.007918084395967862,0.012457675844885996,1.0084151249542657
2024-04-02,7236.98388671875,15945.7998046875,0.004430615008913286,-0.01908111450879213,-0.010815439358035972,0.9876634717726684,0.00617111336998355,0.009061812540485104,0.014867402812541286,1.0138846476817849
2024-04-03,7166.84423828125,15955.0,-0.009691834268999777,-0.026992790131575406,-0.019839281843493484,0.979060343213293,0.0005769666887323055,0.010833755701976644,0.01598318899643414,1.0136607555916883
